date,cci,indicator,trend_score,year,month,quarter,year_month,economic_period
,100.9735,Lipstickindex,-0.2004466383582563,,,,NaT,Unknown
,101.0192,Lipstickindex,-0.2599939802036674,,,,NaT,Unknown
,100.9796,Lipstickindex,-0.2451057123950429,,,,NaT,Unknown
,100.8748,Lipstickindex,-0.2302006313166384,,,,NaT,Unknown
,100.7045,Lipstickindex,-0.3046792904556585,,,,NaT,Unknown
,100.6121,Lipstickindex,-0.3046924085632607,,,,NaT,Unknown
,100.5865,Lipstickindex,-0.3195843707311429,,,,NaT,Unknown
,100.6138,Lipstickindex,-0.3940367928520384,,,,NaT,Unknown
,100.7571,Lipstickindex,-0.2898041407546362,,,,NaT,Unknown
,100.9613,Lipstickindex,-0.3344632147914229,,,,NaT,Unknown
,101.0749,Lipstickindex,-0.3195843707311429,,,,NaT,Unknown
,101.1291,Lipstickindex,-0.2748728234610273,,,,NaT,Unknown
,101.1371,Lipstickindex,-0.3642434447679295,,,,NaT,Unknown
,101.0739,Lipstickindex,-0.3642303266603273,,,,NaT,Unknown
,100.9943,Lipstickindex,-0.3344238596656961,,,,NaT,Unknown
,100.9702,Lipstickindex,-0.3489579313427803,,,,NaT,Unknown
,100.9881,Lipstickindex,-0.3340303084084291,,,,NaT,Unknown
,100.9631,Lipstickindex,-0.3637843013668113,,,,NaT,Unknown
,100.9196,Lipstickindex,-0.3192826486358515,,,,NaT,Unknown
,100.7676,Lipstickindex,-0.3492071802047428,,,,NaT,Unknown
,100.5712,Lipstickindex,-0.3045743431860806,,,,NaT,Unknown
,100.3328,Lipstickindex,-0.3046136983118073,,,,NaT,Unknown
,100.0589,Lipstickindex,-0.2748334683353006,,,,NaT,Unknown
,99.8483,Lipstickindex,-0.2897123123955806,,,,NaT,Unknown
,99.63045,Lipstickindex,-0.2152824329335518,,,,NaT,Unknown
,99.32162,Lipstickindex,-0.1855022029570452,,,,NaT,Unknown
,98.95058,Lipstickindex,-0.2003941651249274,,,,NaT,Unknown
,98.49242,Lipstickindex,-0.3344238596656961,,,,NaT,Unknown
,98.04234,Lipstickindex,-0.2748465872458229,,,,NaT,Unknown
,97.69081,Lipstickindex,-0.2897647856289095,,,,NaT,Unknown
,97.58231,Lipstickindex,-0.3344500966838206,,,,NaT,Unknown
,97.66558,Lipstickindex,-0.2897779045394317,,,,NaT,Unknown
,97.67867,Lipstickindex,-0.125990521878103,,,,NaT,Unknown
,97.41298,Lipstickindex,-0.1855415580827718,,,,NaT,Unknown
,97.16837,Lipstickindex,-0.1855284391722496,,,,NaT,Unknown
,97.03234,Lipstickindex,-0.2450663572693162,,,,NaT,Unknown
,96.9688,Lipstickindex,-0.2004204013401318,,,,NaT,Unknown
,96.97824,Lipstickindex,-0.2897647856289095,,,,NaT,Unknown
,97.20629,Lipstickindex,-0.3195450156054162,,,,NaT,Unknown
,97.66534,Lipstickindex,-0.304653053437534,,,,NaT,Unknown
,98.12306,Lipstickindex,-0.304653053437534,,,,NaT,Unknown
,98.46567,Lipstickindex,-0.3493252455819229,,,,NaT,Unknown
,98.68877,Lipstickindex,-0.3344369777732984,,,,NaT,Unknown
,98.89773,Lipstickindex,-0.3046661723480562,,,,NaT,Unknown
,99.11938,Lipstickindex,-0.3344500966838206,,,,NaT,Unknown
,99.21873,Lipstickindex,-0.304653053437534,,,,NaT,Unknown
,99.24712,Lipstickindex,-0.2748597053534251,,,,NaT,Unknown
,99.30729,Lipstickindex,-0.230174395101434,,,,NaT,Unknown
,99.37518,Lipstickindex,-0.3195318974978139,,,,NaT,Unknown
,99.39132,Lipstickindex,-0.3195450156054162,,,,NaT,Unknown
,99.38895,Lipstickindex,-0.2748465872458229,,,,NaT,Unknown
,99.36604,Lipstickindex,-0.2897516675213073,,,,NaT,Unknown
,99.31453,Lipstickindex,-0.2897516675213073,,,,NaT,Unknown
,99.26768,Lipstickindex,-0.2748728234610273,,,,NaT,Unknown
,99.21994,Lipstickindex,-0.3195581345159384,,,,NaT,Unknown
,99.23846,Lipstickindex,-0.2897647856289095,,,,NaT,Unknown
,99.2652,Lipstickindex,-0.3195712526235406,,,,NaT,Unknown
,99.30903,Lipstickindex,-0.2748859423715495,,,,NaT,Unknown
,99.38902,Lipstickindex,-0.2450925934845206,,,,NaT,Unknown
,99.42262,Lipstickindex,-0.1557088540700162,,,,NaT,Unknown
,99.38183,Lipstickindex,-0.2152693140230296,,,,NaT,Unknown
,99.27272,Lipstickindex,-0.2152824329335518,,,,NaT,Unknown
,99.04582,Lipstickindex,-0.2152693140230296,,,,NaT,Unknown
,98.91441,Lipstickindex,-0.2152824329335518,,,,NaT,Unknown
,98.90597,Lipstickindex,-0.215295551041154,,,,NaT,Unknown
,98.82299,Lipstickindex,-0.2748597053534251,,,,NaT,Unknown
,98.58913,Lipstickindex,-0.2897516675213073,,,,NaT,Unknown
,98.31213,Lipstickindex,-0.2599677431855429,,,,NaT,Unknown
,98.20346,Lipstickindex,-0.2302006313166384,,,,NaT,Unknown
,98.21943,Lipstickindex,-0.1855284391722496,,,,NaT,Unknown
,98.35287,Lipstickindex,-0.1706233588967651,,,,NaT,Unknown
,98.53907,Lipstickindex,-0.0961446997577451,,,,NaT,Unknown
,98.7452,Lipstickindex,-0.0514987446314807,,,,NaT,Unknown
,98.89159,Lipstickindex,0.0080654096807902,,,,NaT,Unknown
,98.95768,Lipstickindex,-0.0365805454454741,,,,NaT,Unknown
,98.95599,Lipstickindex,-0.0663607754219807,,,,NaT,Unknown
,98.92139,Lipstickindex,-0.0365936643559964,,,,NaT,Unknown
,98.82849,Lipstickindex,-0.0812789746079874,,,,NaT,Unknown
